Time,Total Power (dBm),Signal Power (dBm),Eb/No (Demod dB),Eb/No (Decode dB),Carrier Lock,Symbol Lock,Carrier Offset (KHz),Symbol Offset (Ksps),DC Bias,Amplitude Imbalance (I:Q),Phase Imbalance (deg),Viterbi-1 Lock,Lock Loss Accumulation,Total Bits,Error Bits,BER,Viterbi-2 Lock,Lock Loss Accumulation 1,Total Bits 1,Error Bits 1,BER 1,Frame Sync-1 Lock,Received Frames,Error Frames,Dropped Frames,Frame Header Error Bits,Frame Header BER,CRC-1 Lock,Total CRC,CRC Errors,RS-1 Lock,Received Packets,Error Packets,Correctable Packets,Correctable Packet Error Bits,Correctable Packet BER,LDPC-1 Lock,Received Frames 1,Error Frames 1,FER,Total Bits 2,Error Bits 2,BER 2,Frame Sync-2 Lock,Received Frames 2,Error Frames 2,Dropped Frames 1,Frame Header Error Bits 1,Frame Header BER 1,CRC-2 Lock,Total CRC 1,CRC Errors 1,RS-2 Lock,Received Packets 1,Error Packets 1,Correctable Packets 1,Correctable Packet Error Bits 1,Correctable Packet BER 1,LDPC-2 Lock,Received Frames 3,Error Frames 3,FER 1,Total Bits 3,Error Bits 3,BER 3,VCM Lock,1-Frame Type,1-Total Frames,1-Error Frames,2-Frame Type,2-Total Frames,2-Error Frames,3-Frame Type,3-Total Frames,3-Error Frames
2024-03-29 22:40:22.458,-41.0,-53.8,0.9,1.4,Unlocked,Unlocked,-1834.019,-4.165,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:23.472,-41.0,-53.4,0.9,1.4,Unlocked,Unlocked,844.252,0.943,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:24.486,-41.0,-53.4,1.0,1.5,Unlocked,Unlocked,-2354.5589999999997,0.8320000000000001,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:25.500,-41.0,-53.6,0.6,1.2,Unlocked,Unlocked,914.669,-3.8960000000000004,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:26.514,-41.1,-53.2,0.6,1.2,Unlocked,Unlocked,-352.205,-6.5520000000000005,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:27.528,-41.1,-53.7,0.6,1.2,Unlocked,Unlocked,1930.069,0.53,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:28.542,-41.1,-53.0,0.6,1.2,Unlocked,Unlocked,-2269.556,-8.22,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:29.556,-41.1,-53.1,0.6,1.2,Unlocked,Unlocked,-692.706,-3.218,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:30.570,-41.0,-53.5,0.9,1.5,Unlocked,Unlocked,-2220.32,-1.67,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
2024-03-29 22:40:31.584,-41.1,-53.2,0.8,1.3,Unlocked,Unlocked,1744.6029999999998,-1.0290000000000001,0.00+0.00j,1.0,0.0,Not Working,0,0,0,0.0,Not Working,0,0,0,0.0,Unlocked,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Unlocked,0,0,0.0,0,0,0.0,Not Working,0,0,0,0,0.0,Not Working,0,0,Not Working,0,0,0,0,0.0,Not Working,0,0,0.0,0,0,0.0,Not Working,8PSK 2/3,0,0,16APSK 2/3,0,0,16APSK 4/5,0,0
